x,y,p-value,rank,Q,m,critical value,diff,significant?
STI,start,0.002921,1,0.1,15,0.006666667,-0.003745667,yes
MAX,start,0.003265,2,0.1,15,0.013333333,-0.010068333,yes
MAX,center,0.005321,3,0.1,15,0.02,-0.014679,yes
STI,center,0.02241,4,0.1,15,0.026666667,-0.004256667,yes
TUMI,center,0.02733,5,0.1,15,0.033333333,-0.006003333,yes
TUMI,end,0.03405,6,0.1,15,0.04,-0.00595,yes
TUMI,start,0.122,7,0.1,15,0.046666667,0.075333333,no
MAX,end,0.1412,8,0.1,15,0.053333333,0.087866667,no
STI,end,0.2685,9,0.1,15,0.06,0.2085,no
LUMI,end,0.3233,10,0.1,15,0.066666667,0.256633333,no
END,end,0.5921,11,0.1,15,0.073333333,0.518766667,no
LUMI,start,0.6535,12,0.1,15,0.08,0.5735,no
END,center,0.6647,13,0.1,15,0.086666667,0.578033333,no
END,start,0.7894,14,0.1,15,0.093333333,0.696066667,no
LUMI,center,0.8638,15,0.1,15,0.1,0.7638,no